Iteration,xc1,xc2,xc3,xc4,u,ElapsedTime(ms)
1,0.012624862955881,0.074382834675447,0.160674350962734,0.894187858719460,-2.505190077467928,0
2,-0.542499810089852,-2.458274932335731,-1.237981374682699,-8.704289221569315,21.506305962875757,0
3,2.435734464198632,14.254072451258438,-0.642883404243953,12.017111489081387,-9.261974264088604,79
4,7.357587487648198,5.934390203572467,1.268678598168041,0.339670898511272,-9.080260145888900,81
5,8.595805993531499,-0.946015053890944,0.937079838380150,-2.199853440284528,-4.111892050896477,14
6,7.463381426310089,-3.663492553759589,0.332224729586537,-1.525862529108295,-0.863805928869528,14
7,5.579238888821972,-3.938495916978183,-0.018233907560023,-0.676422113118530,0.566000402992872,17
8,3.794601647589375,-3.236567300966247,-0.150005180228434,-0.178527643630839,0.962432056067613,13
9,2.406657863793603,-2.331954937602988,-0.166911554774824,0.041652528929099,0.902409603119213,13
10,1.439364596329995,-1.543298267025577,-0.138655590077969,0.110339561768363,0.695819486188260,13
11,0.814579864512492,-0.956954456913053,-0.100453436829083,0.111172826007111,0.481764370194795,15
12,0.434999096953254,-0.560556173880846,-0.066723473476746,0.088458885993690,0.309508032890820,14
13,0.216898113454935,-0.310551438078807,-0.041491397877692,0.062432929861592,0.187122810049210,14
14,0.098502159562899,-0.161842201568595,-0.024365637700668,0.040683785703484,0.106988884648361,14
15,0.038272369008892,-0.078170273745110,-0.013532023362947,0.024895520057325,0.057756662831488,14
16,0.010125694825804,-0.033794073997538,-0.007071209986487,0.014399196421390,0.029174738280170,14
17,-0.001389444769297,-0.011869566779801,-0.003426998262046,0.007869323872547,0.013493047456489,14
18,-0.004930045966216,-0.002054550908132,-0.001489157360141,0.004034208972855,0.005416578700270,13
19,-0.005064695564045,0.001651163714445,-0.000528693360644,0.001904673482595,0.001579336142100,13
20,-0.004035748171857,0.002536954733585,-0.000096750322822,0.000792521446879,-0.000034241286033,14
21,-0.002836762540892,0.002295077611801,0.000067744124943,0.000254192070096,-0.000565287778810,14
22,-0.001835036656230,0.001728202173255,0.000108279239381,0.000020876513777,-0.000622918729325,13
23,-0.001111363007384,0.001172827702176,0.000098888276992,-0.000061402768551,-0.000510348312241,13
24,-0.000633857345450,0.000738837402642,0.000074819603929,-0.000075889304759,-0.000364743521650,13
25,-0.000339765978914,0.000437254717405,0.000050940403428,-0.000064678427847,-0.000238890575833,14
26,-0.000169298165415,0.000243759967204,0.000032175385805,-0.000047252505339,-0.000146251698055,21
27,-0.000076299156635,0.000127365045390,0.000019088911866,-0.000031432384152,-0.000084308194502,14
28,-0.000028934377684,0.000061401983244,0.000010669352651,-0.000019492691980,-0.000045731657398,14
29,-0.000006891490109,0.000026283422255,0.000005591995090,-0.000011374374992,-0.000023132912428,13
30,0.000001990574821,0.000008930250239,0.000002707254684,-0.000006250556747,-0.000010662893764,13
31,0.000004572204335,0.000001205542303,0.000001166956871,-0.000003212098087,-0.000004223069063,14
32,0.000004487506758,-0.000001653298195,0.000000402952637,-0.000001514215232,-0.000001166467852,13
33,0.000003520793723,-0.000002272112471,0.000000060849258,-0.000000624367447,0.000000108801535,14
34,0.000002458656515,-0.000002005729768,-0.000000067300921,-0.000000193492351,0.000000516234609,15
35,0.000001586432299,-0.000001496457737,-0.000000096454139,-0.000000007655047,0.000000545670147,14
36,0.000000960649521,-0.000001011785459,-0.000000086113134,0.000000056628461,0.000000441455729,13
37,0.000000548827913,-0.000000636785508,-0.000000064615095,0.000000066458843,0.000000313978662,13
38,0.000000295263160,-0.000000377198902,-0.000000043851955,0.000000055871483,0.000000205324309,13
39,0.000000148072905,-0.000000210819472,-0.000000027680352,0.000000040611327,0.000000125753741,14
40,0.000000067517727,-0.000000110656316,-0.000000016439471,0.000000026974755,0.000000072624433,14
41,0.000000026264593,-0.000000053766394,-0.000000009212288,0.000000016731548,0.000000039532296,14
42,0.000000006880584,-0.000000023355639,-0.000000004850047,0.000000009781136,0.000000020110491,21
43,-0.000000001082785,-0.000000008229700,-0.000000002365915,0.000000005390693,0.000000009364187,14
44,-0.000000003534419,-0.000000001414003,-0.000000001034205,0.000000002786198,0.000000003782341,13
45,-0.000000003617697,0.000000001174227,-0.000000000369297,0.000000001323891,0.000000001113562,13
46,-0.000000002886878,0.000000001799392,-0.000000000068180,0.000000000555824,-0.000000000019680,13
47,-0.000000002035491,0.000000001631527,0.000000000047568,0.000000000180382,-0.000000000397416,15
48,-0.000000001322602,0.000000001231629,0.000000000076366,0.000000000014854,-0.000000000438128,14
49,-0.000000000805845,0.000000000839891,0.000000000069791,-0.000000000043090,-0.000000000359026,14
50,-0.000000000462752,0.000000000533711,0.000000000053181,-0.000000000051493,-0.000000000261557,13
51,-0.000000000250070,0.000000000316913,0.000000000036459,-0.000000000046701,-0.000000000169905,13
52,-0.000000000125931,0.000000000179060,0.000000000023235,-0.000000000032206,-0.000000000107890,14
53,-0.000000000057770,0.000000000093018,0.000000000013982,-0.000000000023344,-0.000000000061410,13
54,-0.000000000023140,0.000000000044981,0.000000000007765,-0.000000000014307,-0.000000000033131,13
55,-0.000000000006934,0.000000000019469,0.000000000003954,-0.000000000008840,-0.000000000015141,13
56,0.000000000000010,0.000000000008057,0.000000000001810,-0.000000000004235,-0.000000000006716,14
57,0.000000000002833,0.000000000003139,0.000000000000970,-0.000000000000944,-0.000000000005594,14
58,0.000000000003374,-0.000000000001005,0.000000000000521,-0.000000000001772,-0.000000000001645,21
59,0.000000000002630,-0.000000000002053,-0.000000000000020,-0.000000000001525,0.000000000002022,13
60,0.000000000002048,-0.000000000000327,-0.000000000000132,0.000000000000781,-0.000000000000058,13
61,0.000000000001853,-0.000000000000429,-0.000000000000060,-0.000000000000253,0.000000000000808,14
62,0.000000000001795,0.000000000000190,-0.000000000000086,0.000000000000142,0.000000000000565,101
63,0.000000000001996,0.000000000000643,0.000000000000111,0.000000000001051,-0.000000000002168,13
64,0.000000000001881,-0.000000000001082,0.000000000000070,-0.000000000001197,0.000000000001012,14
65,0.000000000001578,-0.000000000000162,-0.000000000000020,0.000000000000599,-0.000000000000669,13
66,0.000000000001368,-0.000000000000650,0.000000000000100,0.000000000000128,-0.000000000001033,13
67,0.000000000000871,-0.000000000001330,0.000000000000127,-0.000000000000022,-0.000000000001172,13
68,0.000000000000007,-0.000000000002160,-0.000000000000104,-0.000000000001378,0.000000000002370,14
69,-0.000000000000584,-0.000000000000266,-0.000000000000330,-0.000000000000020,0.000000000002543,14
70,-0.000000000000243,0.000000000001652,-0.000000000000042,0.000000000001736,-0.000000000001828,14
71,0.000000000000188,0.000000000000146,0.000000000000257,0.000000000000116,-0.000000000002139,14
72,-0.000000000000140,-0.000000000001479,0.000000000000014,-0.000000000001562,0.000000000001824,14
73,-0.000000000000489,0.000000000000024,-0.000000000000202,0.000000000000196,0.000000000001290,13
74,-0.000000000000241,0.000000000000990,0.000000000000018,0.000000000001116,-0.000000000001547,14
75,-0.000000000000078,-0.000000000000307,0.000000000000050,-0.000000000000848,0.000000000000751,13
76,-0.000000000000063,0.000000000000347,0.000000000000011,0.000000000000554,-0.000000000000808,14
77,-0.000000000000051,-0.000000000000274,0.000000000000114,0.000000000000055,-0.000000000001017,14
78,-0.000000000000383,-0.000000000001083,-0.000000000000128,-0.000000000001464,0.000000000002859,14
79,-0.000000000000345,0.000000000001202,-0.000000000000119,0.000000000001432,-0.000000000000883,13
80,0.000000000000042,0.000000000000407,0.000000000000134,0.000000000000156,-0.000000000001193,13
81,0.000000000000007,-0.000000000000568,-0.000000000000073,-0.000000000001333,0.000000000002348,16
82,0.000000000000204,0.000000000001341,0.000000000000005,0.000000000001706,-0.000000000002197,14
83,0.000000000000415,-0.000000000000430,0.000000000000230,-0.000000000000296,-0.